path_prefix,signal_type,signal_role,influx_path,tag_name_resolved,tag_description_resolved,level2_name,level3_name,functional_role,semantic_var,Opis (Znaczenie fizyczne),alarm_konfig_status,score_l2,score_l3
devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/temperature,VOut,SP,devices/185f554f-b1db-4a60-a733-fe05d4f2a428/mtp/objects/CoolingStyle/temperature/VOut/Actual,temperature,Chiller temperature,Output/TransportCiepla_01/i_T_SP,tcumodel/out_tcumodel_tinternal_1001,temperature,temperature_setpoint,Warto?? zadana temperatury (Set Point).,NIE,1.0,1.0
devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VAHEnFirstProbe,VFbk,PV,devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VAHEnFirstProbe/VFbk/Actual,VAHEnFirstProbe,First probe alarm high,,,,,,TAK,0.0,0.0
devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VAHEnFirstProbe,VMan,Manual,devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VAHEnFirstProbe/VMan/Actual,VAHEnFirstProbe,First probe alarm high,,,,,,TAK,0.0,0.0
devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VAHEnFirstProbe,VOut,SP,devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VAHEnFirstProbe/VOut/Actual,VAHEnFirstProbe,First probe alarm high,,,,,,TAK,0.0,0.0
devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VAHEnSecondProbe,VFbk,PV,devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VAHEnSecondProbe/VFbk/Actual,VAHEnSecondProbe,Second probe alarm high,,,,,,TAK,0.0,0.0
devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VAHEnSecondProbe,VMan,Manual,devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VAHEnSecondProbe/VMan/Actual,VAHEnSecondProbe,Second probe alarm high,,,,,,TAK,0.0,0.0
devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VAHEnSecondProbe,VOut,SP,devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VAHEnSecondProbe/VOut/Actual,VAHEnSecondProbe,Second probe alarm high,,,,,,TAK,0.0,0.0
devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VAHEnThirdProbe,VFbk,PV,devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VAHEnThirdProbe/VFbk/Actual,VAHEnThirdProbe,Third probe alarm high,,,,,,TAK,0.0,0.0
devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VAHEnThirdProbe,VMan,Manual,devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VAHEnThirdProbe/VMan/Actual,VAHEnThirdProbe,Third probe alarm high,,,,,,TAK,0.0,0.0
devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VAHEnThirdProbe,VOut,SP,devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VAHEnThirdProbe/VOut/Actual,VAHEnThirdProbe,Third probe alarm high,,,,,,TAK,0.0,0.0
