influx_path,level2_name,level3_name
devices/d119c456-717a-4aa2-af0a-1d6d41f69d69/mtp/objects/Sensor4/VALEnSecondProbe/VMan/Actual,,
devices/d119c456-717a-4aa2-af0a-1d6d41f69d69/mtp/objects/Sensor4/VALEnSecondProbe/VOut/Actual,,
devices/d119c456-717a-4aa2-af0a-1d6d41f69d69/mtp/objects/Sensor4/VALEnThirdProbe/VFbk/Actual,,
devices/d119c456-717a-4aa2-af0a-1d6d41f69d69/mtp/objects/Sensor4/VALEnThirdProbe/VMan/Actual,,
devices/d119c456-717a-4aa2-af0a-1d6d41f69d69/mtp/objects/Sensor4/VALEnThirdProbe/VOut/Actual,,
devices/d119c456-717a-4aa2-af0a-1d6d41f69d69/mtp/objects/Sensor4/measurementFirstProbe/V/Actual,,
devices/d119c456-717a-4aa2-af0a-1d6d41f69d69/mtp/objects/Sensor4/measurementSecondProbe/V/Actual,,
devices/d119c456-717a-4aa2-af0a-1d6d41f69d69/mtp/objects/Sensor4/measurementThirdProbe/V/Actual,,
devices/d119c456-717a-4aa2-af0a-1d6d41f69d69/mtp/objects/Sensor4/moduleIdentificationTrigger/VFbk/Actual,,
devices/d119c456-717a-4aa2-af0a-1d6d41f69d69/mtp/objects/Sensor4/moduleIdentificationTrigger/VMan/Actual,,
devices/d119c456-717a-4aa2-af0a-1d6d41f69d69/mtp/objects/Sensor4/moduleIdentificationTrigger/VOut/Actual,,
devices/d119c456-717a-4aa2-af0a-1d6d41f69d69/mtp/objects/Sensor4/qualityIndicator/V/Actual,,
devices/d2304eda-30b4-41bc-a866-b39bdf7f4b90/mtp/objects/Agitator/rpmAHEN/VFbk/Actual,Output/Mieszanie_01/o_Speed_Fbk,mixer/out_mixer_model_angular_velocity_rads
devices/d2304eda-30b4-41bc-a866-b39bdf7f4b90/mtp/objects/Agitator/rpmAHEN/VMan/Actual,,
devices/d2304eda-30b4-41bc-a866-b39bdf7f4b90/mtp/objects/Agitator/rpmAHEN/VOut/Actual,Output/Mieszanie_01/i_Speed_SP,mixer/out_mixer_rpm_setpoint
devices/d2304eda-30b4-41bc-a866-b39bdf7f4b90/mtp/objects/Agitator/rpmALEN/VFbk/Actual,,
devices/d2304eda-30b4-41bc-a866-b39bdf7f4b90/mtp/objects/Agitator/rpmALEN/VMan/Actual,,
devices/d2304eda-30b4-41bc-a866-b39bdf7f4b90/mtp/objects/Agitator/rpmALEN/VOut/Actual,,
devices/d2304eda-30b4-41bc-a866-b39bdf7f4b90/mtp/objects/Agitator/temperature/V/Actual,Output/Mieszanie_01/o_usedEnergy,mixer/out_mixer_energy_consumption_w
devices/d2304eda-30b4-41bc-a866-b39bdf7f4b90/mtp/objects/Agitator/tmpAHEN/VFbk/Actual,,
devices/d2304eda-30b4-41bc-a866-b39bdf7f4b90/mtp/objects/Agitator/tmpAHEN/VMan/Actual,,
devices/d2304eda-30b4-41bc-a866-b39bdf7f4b90/mtp/objects/Agitator/tmpAHEN/VOut/Actual,,
devices/d2304eda-30b4-41bc-a866-b39bdf7f4b90/mtp/objects/Agitator/tmpALEN/VFbk/Actual,,
devices/d2304eda-30b4-41bc-a866-b39bdf7f4b90/mtp/objects/Agitator/tmpALEN/VMan/Actual,,
devices/d2304eda-30b4-41bc-a866-b39bdf7f4b90/mtp/objects/Agitator/tmpALEN/VOut/Actual,,
devices/d57496a7-d1fb-4ece-ba31-dcfeda8753bc/mtp/objects/Sensor2/VAHEnFirstProbe/VFbk/Actual,,
devices/d57496a7-d1fb-4ece-ba31-dcfeda8753bc/mtp/objects/Sensor2/VAHEnFirstProbe/VMan/Actual,,
devices/d57496a7-d1fb-4ece-ba31-dcfeda8753bc/mtp/objects/Sensor2/VAHEnFirstProbe/VOut/Actual,,
devices/d57496a7-d1fb-4ece-ba31-dcfeda8753bc/mtp/objects/Sensor2/VAHEnSecondProbe/VFbk/Actual,,
devices/d57496a7-d1fb-4ece-ba31-dcfeda8753bc/mtp/objects/Sensor2/VAHEnSecondProbe/VMan/Actual,,
devices/d57496a7-d1fb-4ece-ba31-dcfeda8753bc/mtp/objects/Sensor2/VAHEnSecondProbe/VOut/Actual,,
devices/d57496a7-d1fb-4ece-ba31-dcfeda8753bc/mtp/objects/Sensor2/VAHEnThirdProbe/VFbk/Actual,,
devices/d57496a7-d1fb-4ece-ba31-dcfeda8753bc/mtp/objects/Sensor2/VAHEnThirdProbe/VMan/Actual,,
devices/d57496a7-d1fb-4ece-ba31-dcfeda8753bc/mtp/objects/Sensor2/VAHEnThirdProbe/VOut/Actual,,
devices/d57496a7-d1fb-4ece-ba31-dcfeda8753bc/mtp/objects/Sensor2/VALEnFirstProbe/VFbk/Actual,,
devices/d57496a7-d1fb-4ece-ba31-dcfeda8753bc/mtp/objects/Sensor2/VALEnFirstProbe/VMan/Actual,,
devices/d57496a7-d1fb-4ece-ba31-dcfeda8753bc/mtp/objects/Sensor2/VALEnFirstProbe/VOut/Actual,,
devices/d57496a7-d1fb-4ece-ba31-dcfeda8753bc/mtp/objects/Sensor2/VALEnSecondProbe/VFbk/Actual,,
devices/d57496a7-d1fb-4ece-ba31-dcfeda8753bc/mtp/objects/Sensor2/VALEnSecondProbe/VMan/Actual,,
devices/d57496a7-d1fb-4ece-ba31-dcfeda8753bc/mtp/objects/Sensor2/VALEnSecondProbe/VOut/Actual,,
devices/d57496a7-d1fb-4ece-ba31-dcfeda8753bc/mtp/objects/Sensor2/VALEnThirdProbe/VFbk/Actual,,
devices/d57496a7-d1fb-4ece-ba31-dcfeda8753bc/mtp/objects/Sensor2/VALEnThirdProbe/VMan/Actual,,
devices/d57496a7-d1fb-4ece-ba31-dcfeda8753bc/mtp/objects/Sensor2/VALEnThirdProbe/VOut/Actual,,
devices/d57496a7-d1fb-4ece-ba31-dcfeda8753bc/mtp/objects/Sensor2/measurementFirstProbe/V/Actual,,
devices/d57496a7-d1fb-4ece-ba31-dcfeda8753bc/mtp/objects/Sensor2/measurementSecondProbe/V/Actual,,
devices/d57496a7-d1fb-4ece-ba31-dcfeda8753bc/mtp/objects/Sensor2/measurementThirdProbe/V/Actual,,
devices/d57496a7-d1fb-4ece-ba31-dcfeda8753bc/mtp/objects/Sensor2/moduleIdentificationTrigger/VFbk/Actual,,
devices/d57496a7-d1fb-4ece-ba31-dcfeda8753bc/mtp/objects/Sensor2/moduleIdentificationTrigger/VMan/Actual,,
devices/d57496a7-d1fb-4ece-ba31-dcfeda8753bc/mtp/objects/Sensor2/moduleIdentificationTrigger/VOut/Actual,,
devices/d57496a7-d1fb-4ece-ba31-dcfeda8753bc/mtp/objects/Sensor2/qualityIndicator/V/Actual,,
devices/e43ea21d-3c09-4a55-abad-d0ae3fa74e5a/mtp/objects/Sensor3/VAHEnFirstProbe/VFbk/Actual,,
devices/e43ea21d-3c09-4a55-abad-d0ae3fa74e5a/mtp/objects/Sensor3/VAHEnFirstProbe/VMan/Actual,,
devices/e43ea21d-3c09-4a55-abad-d0ae3fa74e5a/mtp/objects/Sensor3/VAHEnFirstProbe/VOut/Actual,,
devices/e43ea21d-3c09-4a55-abad-d0ae3fa74e5a/mtp/objects/Sensor3/VAHEnSecondProbe/VFbk/Actual,,
devices/e43ea21d-3c09-4a55-abad-d0ae3fa74e5a/mtp/objects/Sensor3/VAHEnSecondProbe/VMan/Actual,,
devices/e43ea21d-3c09-4a55-abad-d0ae3fa74e5a/mtp/objects/Sensor3/VAHEnSecondProbe/VOut/Actual,,
devices/e43ea21d-3c09-4a55-abad-d0ae3fa74e5a/mtp/objects/Sensor3/VAHEnThirdProbe/VFbk/Actual,,
devices/e43ea21d-3c09-4a55-abad-d0ae3fa74e5a/mtp/objects/Sensor3/VAHEnThirdProbe/VMan/Actual,,
devices/e43ea21d-3c09-4a55-abad-d0ae3fa74e5a/mtp/objects/Sensor3/VAHEnThirdProbe/VOut/Actual,,
devices/e43ea21d-3c09-4a55-abad-d0ae3fa74e5a/mtp/objects/Sensor3/VALEnFirstProbe/VFbk/Actual,,
devices/e43ea21d-3c09-4a55-abad-d0ae3fa74e5a/mtp/objects/Sensor3/VALEnFirstProbe/VMan/Actual,,
devices/e43ea21d-3c09-4a55-abad-d0ae3fa74e5a/mtp/objects/Sensor3/VALEnFirstProbe/VOut/Actual,,
devices/e43ea21d-3c09-4a55-abad-d0ae3fa74e5a/mtp/objects/Sensor3/VALEnSecondProbe/VFbk/Actual,,
devices/e43ea21d-3c09-4a55-abad-d0ae3fa74e5a/mtp/objects/Sensor3/VALEnSecondProbe/VMan/Actual,,
devices/e43ea21d-3c09-4a55-abad-d0ae3fa74e5a/mtp/objects/Sensor3/VALEnSecondProbe/VOut/Actual,,
devices/e43ea21d-3c09-4a55-abad-d0ae3fa74e5a/mtp/objects/Sensor3/VALEnThirdProbe/VFbk/Actual,,
devices/e43ea21d-3c09-4a55-abad-d0ae3fa74e5a/mtp/objects/Sensor3/VALEnThirdProbe/VMan/Actual,,
devices/e43ea21d-3c09-4a55-abad-d0ae3fa74e5a/mtp/objects/Sensor3/VALEnThirdProbe/VOut/Actual,,
devices/e43ea21d-3c09-4a55-abad-d0ae3fa74e5a/mtp/objects/Sensor3/measurementFirstProbe/V/Actual,Output/TransportCiepla_01/i_To,heatmodel/out_heatmodel_tj_1001
devices/e43ea21d-3c09-4a55-abad-d0ae3fa74e5a/mtp/objects/Sensor3/measurementSecondProbe/V/Actual,,
devices/e43ea21d-3c09-4a55-abad-d0ae3fa74e5a/mtp/objects/Sensor3/measurementThirdProbe/V/Actual,,
devices/e43ea21d-3c09-4a55-abad-d0ae3fa74e5a/mtp/objects/Sensor3/moduleIdentificationTrigger/VFbk/Actual,,
devices/e43ea21d-3c09-4a55-abad-d0ae3fa74e5a/mtp/objects/Sensor3/moduleIdentificationTrigger/VMan/Actual,,
devices/e43ea21d-3c09-4a55-abad-d0ae3fa74e5a/mtp/objects/Sensor3/moduleIdentificationTrigger/VOut/Actual,,
devices/e43ea21d-3c09-4a55-abad-d0ae3fa74e5a/mtp/objects/Sensor3/qualityIndicator/V/Actual,,
devices/f67a5705-092b-48a0-a6ee-e538aadf5c55/mtp/objects/Sparger1/gasTemp/V/Actual,Output/Bubble_01/o_r_Bubble_01,bubblegenerator/out_bubgen_r_bubble_m
devices/f67a5705-092b-48a0-a6ee-e538aadf5c55/mtp/objects/Sparger1/interlockSwitch/VFbk/Actual,,
devices/f67a5705-092b-48a0-a6ee-e538aadf5c55/mtp/objects/Sparger1/interlockSwitch/VMan/Setpoint,,
devices/f67a5705-092b-48a0-a6ee-e538aadf5c55/mtp/objects/Sparger1/interlockSwitch/VOut/Actual,,
devices/f67a5705-092b-48a0-a6ee-e538aadf5c55/mtp/objects/Sparger1/moduleIdentificationTrigger/VFbk/Actual,,
devices/f67a5705-092b-48a0-a6ee-e538aadf5c55/mtp/objects/Sparger1/moduleIdentificationTrigger/VMan/Actual,,
devices/f67a5705-092b-48a0-a6ee-e538aadf5c55/mtp/objects/Sparger1/moduleIdentificationTrigger/VOut/Actual,,
devices/f67a5705-092b-48a0-a6ee-e538aadf5c55/mtp/objects/Sparger1/protectReset/VFbk/Actual,,
devices/f67a5705-092b-48a0-a6ee-e538aadf5c55/mtp/objects/Sparger1/protectReset/VMan/Actual,,
devices/f67a5705-092b-48a0-a6ee-e538aadf5c55/mtp/objects/Sparger1/protectReset/VOut/Actual,,
devices/f67a5705-092b-48a0-a6ee-e538aadf5c55/mtp/objects/Sparger1/resetTotalizer/VFbk/Actual,,
devices/f67a5705-092b-48a0-a6ee-e538aadf5c55/mtp/objects/Sparger1/resetTotalizer/VMan/Actual,,
devices/f67a5705-092b-48a0-a6ee-e538aadf5c55/mtp/objects/Sparger1/resetTotalizer/VOut/Actual,,
devices/f67a5705-092b-48a0-a6ee-e538aadf5c55/mtp/objects/Sparger1/safeposEnable/VFbk/Actual,,
devices/f67a5705-092b-48a0-a6ee-e538aadf5c55/mtp/objects/Sparger1/safeposEnable/VMan/Actual,,
devices/f67a5705-092b-48a0-a6ee-e538aadf5c55/mtp/objects/Sparger1/safeposEnable/VOut/Actual,,
devices/f67a5705-092b-48a0-a6ee-e538aadf5c55/mtp/objects/Sparger1/safeposSwitch/VFbk/Actual,,
devices/f67a5705-092b-48a0-a6ee-e538aadf5c55/mtp/objects/Sparger1/safeposSwitch/VMan/Actual,,
devices/f67a5705-092b-48a0-a6ee-e538aadf5c55/mtp/objects/Sparger1/safeposSwitch/VOut/Actual,,
devices/f67a5705-092b-48a0-a6ee-e538aadf5c55/mtp/objects/Sparger1/tare/VFbk/Actual,,
devices/f67a5705-092b-48a0-a6ee-e538aadf5c55/mtp/objects/Sparger1/tare/VMan/Actual,,
devices/f67a5705-092b-48a0-a6ee-e538aadf5c55/mtp/objects/Sparger1/tare/VOut/Actual,,
devices/f67a5705-092b-48a0-a6ee-e538aadf5c55/mtp/objects/Sparger1/totalizer/V/Actual,,
devices/f67a5705-092b-48a0-a6ee-e538aadf5c55/mtp/objects/Sparger1/userGasType/VFbk/Actual,,
devices/f67a5705-092b-48a0-a6ee-e538aadf5c55/mtp/objects/Sparger1/userGasType/VMan/Actual,,
devices/f67a5705-092b-48a0-a6ee-e538aadf5c55/mtp/objects/Sparger1/userGasType/VOut/Actual,,
devices/f67a5705-092b-48a0-a6ee-e538aadf5c55/mtp/objects/Sparger1/valveDrive/V/Actual,,
