influx_path,level2_name,level3_name
devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VALEnSecondProbe/VFbk/Actual,,
devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VALEnSecondProbe/VMan/Actual,,
devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VALEnSecondProbe/VOut/Actual,,
devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VALEnThirdProbe/VFbk/Actual,,
devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VALEnThirdProbe/VMan/Actual,,
devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VALEnThirdProbe/VOut/Actual,,
devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/measurementFirstProbe/V/Actual,Output/TransportO2_01/o_DO_mod,oxygentransport/out_oxygentransport_do_mgl
devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/measurementSecondProbe/V/Actual,,
devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/measurementThirdProbe/V/Actual,,
devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/qualityIndicator/V/Actual,,
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VAHEnFirstProbe/VFbk/Actual,,
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VAHEnFirstProbe/VMan/Actual,,
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VAHEnFirstProbe/VOut/Actual,,
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VAHEnSecondProbe/VFbk/Actual,,
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VAHEnSecondProbe/VMan/Actual,,
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VAHEnSecondProbe/VOut/Actual,,
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VAHEnThirdProbe/VFbk/Actual,,
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VAHEnThirdProbe/VMan/Actual,,
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VAHEnThirdProbe/VOut/Actual,,
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VALEnFirstProbe/VFbk/Actual,,
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VALEnFirstProbe/VMan/Actual,,
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VALEnFirstProbe/VOut/Actual,,
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VALEnSecondProbe/VFbk/Actual,,
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VALEnSecondProbe/VMan/Actual,,
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VALEnSecondProbe/VOut/Actual,,
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VALEnThirdProbe/VFbk/Actual,,
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VALEnThirdProbe/VMan/Actual,,
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VALEnThirdProbe/VOut/Actual,,
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/measurementFirstProbe/V/Actual,Output/SoftSensorpH_01/o_pH_mod,softsensorph/out_softsensorph_ph_est
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/measurementSecondProbe/V/Actual,,
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/measurementThirdProbe/V/Actual,,
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/moduleIdentificationTrigger/VFbk/Actual,,
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/moduleIdentificationTrigger/VMan/Actual,,
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/moduleIdentificationTrigger/VOut/Actual,,
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/qualityIndicator/V/Actual,,
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/gasTemp/V/Actual,,
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/interlockSwitch/VFbk/Actual,,
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/interlockSwitch/VMan/Setpoint,,
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/interlockSwitch/VOut/Actual,,
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/moduleIdentificationTrigger/VFbk/Actual,,
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/moduleIdentificationTrigger/VMan/Actual,,
