lp,measurement
567,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/protectReset/VMan/Actual
568,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/protectReset/VOut/Actual
569,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/protectReset/VRbk/Actual
570,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/protectReset/VState0/Actual
571,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/protectReset/VState1/Actual
572,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/protectReset/WQC/Actual
573,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/resetTotalizer/OSLevel/Actual
574,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/resetTotalizer/SrcChannel/Actual
575,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/resetTotalizer/SrcIntAct/Actual
576,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/resetTotalizer/SrcIntAut/Actual
577,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/resetTotalizer/SrcIntOp/Actual
578,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/resetTotalizer/SrcManAct/Actual
579,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/resetTotalizer/SrcManAut/Actual
580,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/resetTotalizer/SrcManOp/Actual
581,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/resetTotalizer/TagDescription/Actual
582,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/resetTotalizer/TagName/Actual
583,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/resetTotalizer/VFbk/Actual
584,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/resetTotalizer/VInt/Actual
585,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/resetTotalizer/VMan/Actual
586,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/resetTotalizer/VOut/Actual
587,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/resetTotalizer/VRbk/Actual
588,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/resetTotalizer/VState0/Actual
589,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/resetTotalizer/VState1/Actual
590,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/resetTotalizer/WQC/Actual
591,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposEnable/OSLevel/Actual
592,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposEnable/SrcChannel/Actual
593,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposEnable/SrcIntAct/Actual
594,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposEnable/SrcIntAut/Actual
595,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposEnable/SrcIntOp/Actual
596,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposEnable/SrcManAct/Actual
597,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposEnable/SrcManAut/Actual
598,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposEnable/SrcManOp/Actual
599,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposEnable/TagDescription/Actual
600,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposEnable/TagName/Actual
601,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposEnable/VFbk/Actual
602,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposEnable/VInt/Actual
603,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposEnable/VMan/Actual
604,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposEnable/VOut/Actual
605,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposEnable/VRbk/Actual
606,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposEnable/VState0/Actual
607,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposEnable/VState1/Actual
608,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposEnable/WQC/Actual
609,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposSwitch/OSLevel/Actual
610,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposSwitch/SrcChannel/Actual
611,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposSwitch/SrcIntAct/Actual
612,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposSwitch/SrcIntAut/Actual
613,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposSwitch/SrcIntOp/Actual
614,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposSwitch/SrcManAct/Actual
615,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposSwitch/SrcManAut/Actual
616,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposSwitch/SrcManOp/Actual
617,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposSwitch/TagDescription/Actual
618,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposSwitch/TagName/Actual
619,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposSwitch/VFbk/Actual
620,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposSwitch/VInt/Actual
621,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposSwitch/VMan/Actual
622,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposSwitch/VOut/Actual
623,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposSwitch/VRbk/Actual
624,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposSwitch/VState0/Actual
625,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposSwitch/VState1/Actual
626,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposSwitch/WQC/Actual
627,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/status/TagDescription/Actual
628,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/status/TagName/Actual
629,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/status/Text/Actual
630,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/status/WQC/Actual
631,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/tare/OSLevel/Actual
632,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/tare/SrcChannel/Actual
633,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/tare/SrcIntAct/Actual
634,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/tare/SrcIntAut/Actual
635,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/tare/SrcIntOp/Actual
636,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/tare/SrcManAct/Actual
637,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/tare/SrcManAut/Actual
638,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/tare/SrcManOp/Actual
639,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/tare/TagDescription/Actual
640,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/tare/TagName/Actual
641,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/tare/VFbk/Actual
642,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/tare/VInt/Actual
643,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/tare/VMan/Actual
644,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/tare/VOut/Actual
645,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/tare/VRbk/Actual
646,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/tare/VState0/Actual
647,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/tare/VState1/Actual
648,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/tare/WQC/Actual
649,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/totalizer/TagDescription/Actual
650,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/totalizer/TagName/Actual
651,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/totalizer/V/Actual
652,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/totalizer/VSclMax/Actual
653,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/totalizer/VSclMin/Actual
654,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/totalizer/VUnit/Actual
655,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/totalizer/WQC/Actual
656,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/userGasType/OSLevel/Actual
657,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/userGasType/TagDescription/Actual
658,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/userGasType/TagName/Actual
659,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/userGasType/VFbk/Actual
660,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/userGasType/VMan/Actual
661,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/userGasType/VMax/Actual
662,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/userGasType/VMin/Actual
663,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/userGasType/VOut/Actual
664,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/userGasType/VRbk/Actual
665,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/userGasType/VSclMax/Actual
666,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/userGasType/VSclMin/Actual
667,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/userGasType/VUnit/Actual
668,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/valveDrive/TagDescription/Actual
669,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/valveDrive/TagName/Actual
670,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/valveDrive/V/Actual
671,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/valveDrive/VSclMax/Actual
672,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/valveDrive/VSclMin/Actual
673,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/valveDrive/VUnit/Actual
674,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/valveDrive/WQC/Actual
675,devices/289ca36e-495e-445a-ae52-203a431051f5/status/connection_status
676,devices/289ca36e-495e-445a-ae52-203a431051f5/status/uptime
677,devices/616ad07e-52e7-4293-aba1-2848073e1c33/assigned_to_batch
678,devices/616ad07e-52e7-4293-aba1-2848073e1c33/assigned_to_pnid
679,devices/616ad07e-52e7-4293-aba1-2848073e1c33/assigned_to_process
680,devices/616ad07e-52e7-4293-aba1-2848073e1c33/assigned_to_system
681,devices/616ad07e-52e7-4293-aba1-2848073e1c33/diagnostics/CoreBoard/Text/Actual
682,devices/616ad07e-52e7-4293-aba1-2848073e1c33/metadata
683,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/coefficient/OSLevel/Actual
684,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/coefficient/SrcChannel/Actual
685,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/coefficient/SrcIntAct/Actual
686,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/coefficient/SrcIntAut/Actual
687,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/coefficient/SrcIntOp/Actual
688,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/coefficient/SrcManAct/Actual
689,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/coefficient/SrcManAut/Actual
690,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/coefficient/SrcManOp/Actual
691,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/coefficient/TagDescription/Actual
692,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/coefficient/TagName/Actual
693,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/coefficient/VFbk/Actual
694,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/coefficient/VInt/Actual
695,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/coefficient/VMan/Actual
696,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/coefficient/VMax/Actual
697,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/coefficient/VMin/Actual
698,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/coefficient/VOut/Actual
699,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/coefficient/VRbk/Actual
700,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/coefficient/VSclMax/Actual
701,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/coefficient/VSclMin/Actual
702,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/coefficient/VUnit/Actual
703,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/coefficient/WQC/Actual
704,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/FwdAut/Actual
705,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/FwdCtrl/Actual
706,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/FwdEn/Actual
707,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/FwdFbk/Actual
708,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/FwdFbkCalc/Actual
709,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/FwdOp/Actual
710,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/FwdOp/Setpoint
711,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/Interlock/Actual
712,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/IntlEn/Actual
713,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/MonDynErr/Actual
714,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/MonDynTi/Actual
715,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/MonEn/Actual
716,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/MonSafePos/Actual
717,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/MonStatErr/Actual
718,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/MonStatTi/Actual
719,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/OSLevel/Actual
720,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/PermEn/Actual
721,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/Permit/Actual
722,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/ProtEn/Actual
723,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/Protect/Actual
724,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/ResetAut/Actual
725,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/ResetOp/Actual
726,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/RevAut/Actual
727,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/RevCtrl/Actual
728,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/RevEn/Actual
729,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/RevFbk/Actual
730,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/RevFbkCalc/Actual
731,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/RevOp/Actual
732,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/Rpm/Actual
733,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/RpmAHAct/Actual
734,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/RpmAHEn/Actual
735,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/RpmAHLim/Actual
736,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/RpmALAct/Actual
737,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/RpmALEn/Actual
738,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/RpmALLim/Actual
739,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/RpmErr/Actual
740,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/RpmFbk/Actual
741,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/RpmFbkCalc/Actual
742,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/RpmInt/Actual
743,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/RpmMan/Actual
744,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/RpmMax/Actual
745,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/RpmMin/Actual
746,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/RpmRbk/Actual
747,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/RpmSclMax/Actual
748,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/RpmSclMin/Actual
749,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/RpmUnit/Actual
750,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/SafePos/Actual
751,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/SafePosAct/Actual
752,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/SrcChannel/Actual
753,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/SrcIntAct/Actual
754,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/SrcIntAut/Actual
755,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/SrcIntOp/Actual
756,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/SrcManAct/Actual
757,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/SrcManAut/Actual
758,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/SrcManOp/Actual
759,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/StateAutAct/Actual
760,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/StateAutAut/Actual
761,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/StateAutOp/Actual
762,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/StateChannel/Actual
763,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/StateOffAct/Actual
764,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/StateOffAut/Actual
765,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/StateOffOp/Actual
766,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/StateOpAct/Actual
767,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/StateOpAut/Actual
768,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/StateOpOp/Actual
769,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/StateOpOp/Setpoint
770,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/StopAut/Actual
771,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/StopOp/Actual
772,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/StopOp/Setpoint
773,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/TagDescription/Actual
774,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/TagName/Actual
775,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/Trip/Actual
776,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/controller/WQC/Actual
777,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/current/TagDescription/Actual
778,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/current/TagName/Actual
779,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/current/V/Actual
780,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/current/VSclMax/Actual
781,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/current/VSclMin/Actual
782,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/current/VUnit/Actual
783,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/current/WQC/Actual
784,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/flow/OSLevel/Actual
785,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/flow/SrcChannel/Actual
786,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/flow/SrcIntAct/Actual
787,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/flow/SrcIntAut/Actual
788,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/flow/SrcIntOp/Actual
789,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/flow/SrcManAct/Actual
790,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/flow/SrcManAut/Actual
791,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/flow/SrcManOp/Actual
792,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/flow/TagDescription/Actual
793,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/flow/TagName/Actual
794,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/flow/VFbk/Actual
795,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/flow/VInt/Actual
796,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/flow/VMan/Actual
797,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/flow/VMax/Actual
798,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/flow/VMin/Actual
799,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/flow/VOut/Actual
800,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/flow/VRbk/Actual
801,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/flow/VSclMax/Actual
802,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/flow/VSclMin/Actual
803,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/flow/VUnit/Actual
804,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/flow/WQC/Actual
805,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/interlockSwitch/OSLevel/Actual
806,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/interlockSwitch/SrcChannel/Actual
807,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/interlockSwitch/SrcIntAct/Actual
808,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/interlockSwitch/SrcIntAut/Actual
809,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/interlockSwitch/SrcIntOp/Actual
810,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/interlockSwitch/SrcManAct/Actual
811,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/interlockSwitch/SrcManAut/Actual
812,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/interlockSwitch/SrcManOp/Actual
813,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/interlockSwitch/TagDescription/Actual
814,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/interlockSwitch/TagName/Actual
815,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/interlockSwitch/VFbk/Actual
816,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/interlockSwitch/VInt/Actual
817,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/interlockSwitch/VMan/Actual
818,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/interlockSwitch/VMan/Setpoint
819,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/interlockSwitch/VOut/Actual
820,devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/interlockSwitch/VRbk/Actual
